Meteor Start Date (YYYY/MM/DD)	Meteor Start Time (hh:mm:ss)	Current daily meteor count (integer)	Peak Meteor Signal (float, dB)	Peak Meteor Noise (float, dB)	Peak Meteor Signal to Noise Ratio (float, dB)	Peak Meteor Frequency (integer, Hz)	Meteor Duration (float, seconds)	ROI
20230103	144833	3	-62,3	-84	21,6	2076,9	0,1	event20230103_144901_3.jpg
20230103	150446	4	-49	-84	35,1	2028,5	1,3	event20230103_150514_4.jpg
20230103	150807	5	-60,9	-84,5	23,6	2061,9	0,1	event20230103_150835_5.jpg
20230103	151201	6	-60,3	-85	24,8	2075,3	0,3	event20230103_151230_6.jpg
20230103	151627	8	-58,7	-84,5	25,8	2065,1	0,3	event20230103_151655_8.jpg
20230103	154433	9	-60,6	-84,4	23,9	2061,5	0,1	event20230103_154503_9.jpg
20230103	154437	10	-35,3	-83,2	47,9	2080,3	0,6	event20230103_154506_10.jpg
20230103	161442	12	-60,9	-84,4	23,4	2046,5	0,1	event20230103_161511_12.jpg
20230103	162609	13	-62,3	-84,9	22,6	2062,1	0,1	event20230103_162638_13.jpg
20230103	165109	14	-47,6	-83	35,4	2069,3	0,6	event20230103_165138_14.jpg
20230103	170335	15	-56,4	-83,6	27,2	2072,7	0,2	event20230103_170405_15.jpg
20230103	172826	16	-59,6	-83,3	23,7	2068,3	0,2	event20230103_172856_16.jpg
20230103	173653	17	-61	-83,3	22,3	2066,3	0,1	event20230103_173723_17.jpg
20230103	181803	18	-58,3	-83,1	24,8	2050,3	0,1	event20230103_181833_18.jpg
20230103	182306	19	-54,9	-84,6	29,7	2063,1	1,3	event20230103_182335_19.jpg
20230103	184753	20	-46	-84,6	38,6	2065,1	12,4	event20230103_184823_20.jpg
20230103	191727	21	-60,8	-83,7	23	2055,6	0,2	event20230103_191757_21.jpg
20230103	193041	22	-55,5	-85,1	29,6	2065,5	0,2	event20230103_193112_22.jpg
20230103	195342	23	-54,1	-84,3	30,2	2067,3	1,1	event20230103_195412_23.jpg
20230103	200633	24	-59,6	-84,5	24,9	2065,6	0,2	event20230103_200703_24.jpg
20230103	201111	25	-60,5	-84	23,5	2069,8	0,1	event20230103_201141_25.jpg
20230103	201815	26	-61,8	-85,1	23,3	2063	2,3	event20230103_201846_26.jpg
20230103	201932	27	-61,5	-84	22,5	2069,3	0,1	event20230103_202002_27.jpg
20230103	202507	28	-57,4	-84,1	26,7	2061,7	3	event20230103_202537_28.jpg
20230103	203504	30	-61,1	-84,5	23,4	2068,8	0,1	event20230103_203535_30.jpg
20230103	210842	33	-58	-84,2	26,2	2060,5	0,2	event20230103_210912_33.jpg
20230103	221923	38	-49,3	-84,2	34,9	2051,5	6,2	event20230103_221954_38.jpg
20230103	225838	40	-44,1	-84,6	40,5	2051	3,2	event20230103_225908_40.jpg
20230103	225909	41	-49,9	-84	34,1	2081,9	0,3	event20230103_225940_41.jpg
20230103	230541	42	-55,1	-84,9	29,8	2042,9	0,6	event20230103_230612_42.jpg
20230103	233027	43	-62,7	-84,6	22	2055,2	2,2	event20230103_233058_43.jpg
20230104	527	1	-63,5	-84,6	21	2153,2	0,1	event20230104_000558_1.jpg
20230104	2835	2	-59,4	-84,1	24,7	2065,7	0,1	event20230104_002906_2.jpg
20230104	5146	4	-56	-84,1	28,1	2083,9	1,6	event20230104_005217_4.jpg
20230104	10759	5	-40,7	-86	45,3	2050,7	0,6	event20230104_010830_5.jpg
20230104	11517	8	-62	-86,9	24,9	2047,3	0,9	event20230104_011548_8.jpg
20230104	11925	10	-59,6	-86,5	26,9	2058,2	0,2	event20230104_011957_10.jpg
20230104	13428	12	-47,8	-86,6	38,9	2058,3	1,6	event20230104_013500_12.jpg
20230104	13511	13	-54,3	-85,8	31,5	2058	0,6	event20230104_013542_13.jpg
20230104	14054	14	-60,1	-85,6	25,6	2042,9	0,1	event20230104_014125_14.jpg
20230104	14833	16	-59,6	-84,7	25,2	2049,2	0,7	event20230104_014904_16.jpg
20230104	14919	17	-60,7	-84,7	24	2050,8	1	event20230104_014950_17.jpg
20230104	15249	18	-57,7	-83,9	26,2	2054,3	0,2	event20230104_015321_18.jpg
20230104	15640	19	-60,2	-84,4	24,2	2058,3	0,1	event20230104_015711_19.jpg
20230104	15828	20	-44,2	-83,8	39,5	2082,1	10	event20230104_015859_20.jpg
20230104	15931	21	-58	-84,3	26,3	2058,5	1,7	event20230104_020002_21.jpg
20230104	20039	22	-51	-84	32,9	2081	0,5	event20230104_020110_22.jpg
20230104	20842	23	-44,4	-84,4	40	2074,2	2,3	event20230104_020913_23.jpg
20230104	21752	25	-58,2	-84,2	26	2086,4	0,3	event20230104_021823_25.jpg
20230104	22927	26	-64	-84,3	20,4	2062,4	0,1	event20230104_022958_26.jpg
